fecha;T (°C);Tmin (°C);Tmax (°C);Precipitaciones (mm);dir_viento (°);vel_viento (m/s);pres (hPa);Municipio
1/01/2020;28,2;25,9;32,5;0;9;17;1010,5;Barranquilla
2/01/2020;27,9;25;33,3;0;14;15,7;1010,9;Barranquilla
3/01/2020;27,9;23,4;32,2;0;6;13,9;1012,2;Barranquilla
4/01/2020;27,9;23;33,1;0;15;13,3;1013,3;Barranquilla
5/01/2020;27,8;25,8;33,1;0;6;22,9;1014,1;Barranquilla
6/01/2020;27,7;25,8;31,7;0;7;25,9;1012,5;Barranquilla
7/01/2020;27,7;24,2;32;0;9;19;1011,8;Barranquilla
8/01/2020;28,4;26,4;32;0;14;22,2;1011,9;Barranquilla
9/01/2020;28,5;25,7;32,8;0;12;27,6;1011;Barranquilla
10/01/2020;28,1;24,7;32;0;15;23,5;1008,4;Barranquilla
11/01/2020;27,9;25,6;32,3;0;7;20,2;1008,7;Barranquilla
12/01/2020;28,1;25;32,5;0;9;19,4;1009,2;Barranquilla
13/01/2020;27,8;24,5;32;0;10;21,2;1008,7;Barranquilla
14/01/2020;27,1;24,7;32,7;0;8;27,1;1008,4;Barranquilla
15/01/2020;26,6;24;30,8;0;4;21,6;1008,1;Barranquilla
16/01/2020;27,4;24,9;32;0;6;19,8;1009,1;Barranquilla
17/01/2020;26,9;25;31,8;0;7;28,5;1008,6;Barranquilla
18/01/2020;26,8;24,9;30,6;0;5;25,6;1008,2;Barranquilla
19/01/2020;27,2;25;31,4;0;8;21,4;1008,2;Barranquilla
20/01/2020;27;24;34;0;6;11,8;1009,5;Barranquilla
21/01/2020;26,4;24;35;0;2;11,7;1010,9;Barranquilla
22/01/2020;26,9;24;33;0;322;8,4;1011,7;Barranquilla
23/01/2020;26,9;22,6;33,2;0;357;13,3;1012;Barranquilla
24/01/2020;27,4;25;31,7;0;346;17,7;1012,6;Barranquilla
25/01/2020;27,4;25,6;30,4;0;352;19,9;1012,9;Barranquilla
26/01/2020;27,9;20;31;0;4;21,4;1012,9;Barranquilla
27/01/2020;27,7;24,9;33;0;14;14,6;1012,9;Barranquilla
28/01/2020;27,8;25,6;32,3;0;3;15,1;1012,5;Barranquilla
29/01/2020;28,4;26;33;0;357;17,7;1012,3;Barranquilla
30/01/2020;28,4;25,2;34;0;18;17,1;1011,1;Barranquilla
31/01/2020;28,5;25;34,9;0;8;19,5;1010,7;Barranquilla
1/02/2020;28,6;25,2;34,1;0;7;16,6;1010,3;Barranquilla
2/02/2020;28,2;26;33,8;0;6;20,6;1011;Barranquilla
3/02/2020;27,8;26;32,1;0;6;23,3;1011;Barranquilla
4/02/2020;28,4;25,6;32,1;0;7;21,2;1010,8;Barranquilla
5/02/2020;28,1;23,6;33;0;10;16,7;1010;Barranquilla
6/02/2020;27,9;24;33;0;7;13,2;1009,3;Barranquilla
7/02/2020;27,4;22,6;32,4;0;19;13,4;1010,5;Barranquilla
8/02/2020;26,7;21;33,1;0;13;13,3;1011,5;Barranquilla
9/02/2020;27,4;22,7;31;0;12;24,9;1011,7;Barranquilla
10/02/2020;27,6;24,8;32;0;6;24,4;1010;Barranquilla
11/02/2020;27,9;25;32;0;10;29,2;1009,3;Barranquilla
